"Problem","group","Sample_ID","SPI","Node_from","Node_to","value"
"EEG state","positivity","Test_131","cce_gaussian","Channel_2","Channel_1",-3.50543132386837
"EEG state","positivity","Test_132","cce_gaussian","Channel_2","Channel_1",-5.07200600119635
"EEG state","positivity","Test_133","cce_gaussian","Channel_2","Channel_1",-5.56513531196001
"EEG state","positivity","Test_134","cce_gaussian","Channel_2","Channel_1",-5.74092785070145
"EEG state","negativity","Test_135","cce_gaussian","Channel_2","Channel_1",-2.38394766758195
"EEG state","negativity","Test_136","cce_gaussian","Channel_2","Channel_1",-2.68950260307325
"EEG state","negativity","Test_137","cce_gaussian","Channel_2","Channel_1",0.172717492360064
"EEG state","positivity","Test_138","cce_gaussian","Channel_2","Channel_1",-3.95760523486288
"EEG state","positivity","Test_139","cce_gaussian","Channel_2","Channel_1",-3.82259139779145
"EEG state","negativity","Test_14","cce_gaussian","Channel_2","Channel_1",-4.85131416611431
"EEG state","positivity","Test_140","cce_gaussian","Channel_2","Channel_1",-2.29059385895959
"EEG state","positivity","Test_141","cce_gaussian","Channel_2","Channel_1",-5.32915522267605
"EEG state","negativity","Test_142","cce_gaussian","Channel_2","Channel_1",-4.36348156258495
"EEG state","negativity","Test_143","cce_gaussian","Channel_2","Channel_1",-2.82231661964928
"EEG state","positivity","Test_145","cce_gaussian","Channel_2","Channel_1",-3.61417076534127
"EEG state","negativity","Test_146","cce_gaussian","Channel_2","Channel_1",-0.884882494319527
"EEG state","negativity","Test_147","cce_gaussian","Channel_2","Channel_1",-4.14511435949683
"EEG state","negativity","Test_148","cce_gaussian","Channel_2","Channel_1",-1.40290681646294
"EEG state","negativity","Test_149","cce_gaussian","Channel_2","Channel_1",-2.17578700923727
"EEG state","positivity","Test_15","cce_gaussian","Channel_2","Channel_1",-1.1495604434784
"EEG state","negativity","Test_150","cce_gaussian","Channel_2","Channel_1",-2.5684341471199
"EEG state","negativity","Test_151","cce_gaussian","Channel_2","Channel_1",-2.67722175244227
"EEG state","negativity","Test_152","cce_gaussian","Channel_2","Channel_1",-1.8140890648604
"EEG state","positivity","Test_153","cce_gaussian","Channel_2","Channel_1",-3.65478248210551
"EEG state","positivity","Test_154","cce_gaussian","Channel_2","Channel_1",-3.6989669882472
"EEG state","positivity","Test_155","cce_gaussian","Channel_2","Channel_1",-2.26817985941934
"EEG state","positivity","Test_156","cce_gaussian","Channel_2","Channel_1",-4.14219426264259
"EEG state","positivity","Test_157","cce_gaussian","Channel_2","Channel_1",-3.04604619156429
"EEG state","positivity","Test_158","cce_gaussian","Channel_2","Channel_1",-3.62716961952248
"EEG state","negativity","Test_159","cce_gaussian","Channel_2","Channel_1",-2.87671851297312
"EEG state","positivity","Test_16","cce_gaussian","Channel_2","Channel_1",-4.71717128271925
"EEG state","negativity","Test_160","cce_gaussian","Channel_2","Channel_1",-3.37954807729731
"EEG state","positivity","Test_161","cce_gaussian","Channel_2","Channel_1",-3.9320055410258
"EEG state","positivity","Test_162","cce_gaussian","Channel_2","Channel_1",-4.12951505714282
"EEG state","negativity","Test_163","cce_gaussian","Channel_2","Channel_1",-4.37760415363244
"EEG state","negativity","Test_164","cce_gaussian","Channel_2","Channel_1",-3.06801220079831
"EEG state","negativity","Test_165","cce_gaussian","Channel_2","Channel_1",-2.22932862246034
"EEG state","negativity","Test_166","cce_gaussian","Channel_2","Channel_1",-5.63684786691512
"EEG state","positivity","Test_167","cce_gaussian","Channel_2","Channel_1",-4.11845925837778
"EEG state","negativity","Test_168","cce_gaussian","Channel_2","Channel_1",-5.30098822759449
"EEG state","positivity","Test_169","cce_gaussian","Channel_2","Channel_1",-4.7521294518713
"EEG state","positivity","Test_17","cce_gaussian","Channel_2","Channel_1",-3.86351479192079
"EEG state","positivity","Test_170","cce_gaussian","Channel_2","Channel_1",-5.32580996385995
"EEG state","positivity","Test_171","cce_gaussian","Channel_2","Channel_1",-7.48420494663992
"EEG state","negativity","Test_172","cce_gaussian","Channel_2","Channel_1",-1.66628638806361
"EEG state","negativity","Test_173","cce_gaussian","Channel_2","Channel_1",-3.36537724891676
"EEG state","negativity","Test_174","cce_gaussian","Channel_2","Channel_1",-5.20718655020627
"EEG state","negativity","Test_175","cce_gaussian","Channel_2","Channel_1",-4.98129525214631
"EEG state","negativity","Test_176","cce_gaussian","Channel_2","Channel_1",-4.15415134660393
"EEG state","positivity","Test_177","cce_gaussian","Channel_2","Channel_1",-2.79788762622706
"EEG state","negativity","Test_178","cce_gaussian","Channel_2","Channel_1",-2.81691729995831
"EEG state","positivity","Test_179","cce_gaussian","Channel_2","Channel_1",-1.50207407773785
"EEG state","negativity","Test_18","cce_gaussian","Channel_2","Channel_1",-2.22904611296548
"EEG state","positivity","Test_180","cce_gaussian","Channel_2","Channel_1",-4.97844637996876
"EEG state","negativity","Test_181","cce_gaussian","Channel_2","Channel_1",-4.38138492754296
"EEG state","negativity","Test_182","cce_gaussian","Channel_2","Channel_1",-4.03786798761543
"EEG state","negativity","Test_183","cce_gaussian","Channel_2","Channel_1",-2.90827134087787
"EEG state","positivity","Test_184","cce_gaussian","Channel_2","Channel_1",-4.88174760441655
"EEG state","positivity","Test_185","cce_gaussian","Channel_2","Channel_1",-4.90134909164347
"EEG state","negativity","Test_186","cce_gaussian","Channel_2","Channel_1",-3.09576642715921
"EEG state","positivity","Test_187","cce_gaussian","Channel_2","Channel_1",-2.8471276696482
"EEG state","negativity","Test_188","cce_gaussian","Channel_2","Channel_1",-2.68060116909253
"EEG state","negativity","Test_189","cce_gaussian","Channel_2","Channel_1",-4.35537489231468
"EEG state","negativity","Test_19","cce_gaussian","Channel_2","Channel_1",0.383182008072223
"EEG state","positivity","Test_190","cce_gaussian","Channel_2","Channel_1",-4.16504443808644
"EEG state","positivity","Test_191","cce_gaussian","Channel_2","Channel_1",-2.05660656294218
"EEG state","positivity","Test_192","cce_gaussian","Channel_2","Channel_1",-4.9745621004397
"EEG state","positivity","Test_193","cce_gaussian","Channel_2","Channel_1",-5.62921611367904
"EEG state","negativity","Test_194","cce_gaussian","Channel_2","Channel_1",-3.77421579021071
"EEG state","negativity","Test_195","cce_gaussian","Channel_2","Channel_1",-6.2304295311976
"EEG state","positivity","Test_196","cce_gaussian","Channel_2","Channel_1",-3.37887150031227
"EEG state","positivity","Test_197","cce_gaussian","Channel_2","Channel_1",-2.77053753970097
"EEG state","negativity","Test_198","cce_gaussian","Channel_2","Channel_1",-1.07030496294068
"EEG state","positivity","Test_199","cce_gaussian","Channel_2","Channel_1",-5.14583722698336
"EEG state","positivity","Test_2","cce_gaussian","Channel_2","Channel_1",-2.16430388478012
"EEG state","positivity","Test_20","cce_gaussian","Channel_2","Channel_1",-6.41586301312556
"EEG state","positivity","Test_200","cce_gaussian","Channel_2","Channel_1",-6.33647483809912
"EEG state","negativity","Test_201","cce_gaussian","Channel_2","Channel_1",-2.58476568361781
"EEG state","negativity","Test_202","cce_gaussian","Channel_2","Channel_1",-3.65893632735311
"EEG state","negativity","Test_203","cce_gaussian","Channel_2","Channel_1",-2.96626422413412
"EEG state","negativity","Test_204","cce_gaussian","Channel_2","Channel_1",-4.85235039059281
"EEG state","negativity","Test_205","cce_gaussian","Channel_2","Channel_1",-4.497265600929
"EEG state","positivity","Test_206","cce_gaussian","Channel_2","Channel_1",-3.67452768277287
"EEG state","negativity","Test_207","cce_gaussian","Channel_2","Channel_1",-2.57709981456004
"EEG state","positivity","Test_208","cce_gaussian","Channel_2","Channel_1",-2.82623967082197
"EEG state","negativity","Test_209","cce_gaussian","Channel_2","Channel_1",-2.78608771493832
"EEG state","negativity","Test_21","cce_gaussian","Channel_2","Channel_1",-1.54483591367456
"EEG state","negativity","Test_210","cce_gaussian","Channel_2","Channel_1",-1.40733399686585
"EEG state","positivity","Test_211","cce_gaussian","Channel_2","Channel_1",-4.08513918887803
"EEG state","positivity","Test_212","cce_gaussian","Channel_2","Channel_1",-3.19035832300492
"EEG state","positivity","Test_213","cce_gaussian","Channel_2","Channel_1",-2.8385685043707
"EEG state","positivity","Test_214","cce_gaussian","Channel_2","Channel_1",-6.47292404597476
"EEG state","negativity","Test_215","cce_gaussian","Channel_2","Channel_1",-3.58852737728864
"EEG state","positivity","Test_216","cce_gaussian","Channel_2","Channel_1",-4.84452739809129
"EEG state","negativity","Test_217","cce_gaussian","Channel_2","Channel_1",-2.3537437753155
"EEG state","positivity","Test_218","cce_gaussian","Channel_2","Channel_1",-3.4932835737913
"EEG state","positivity","Test_219","cce_gaussian","Channel_2","Channel_1",-2.99626397073911
"EEG state","negativity","Test_22","cce_gaussian","Channel_2","Channel_1",-4.16968282927368
"EEG state","negativity","Test_220","cce_gaussian","Channel_2","Channel_1",-3.62443733222379
"EEG state","negativity","Test_221","cce_gaussian","Channel_2","Channel_1",-3.45611348651861
"EEG state","negativity","Test_222","cce_gaussian","Channel_2","Channel_1",-5.94583163066196
"EEG state","positivity","Test_223","cce_gaussian","Channel_2","Channel_1",-4.30688994853638
"EEG state","positivity","Test_224","cce_gaussian","Channel_2","Channel_1",-5.19400545845962
"EEG state","positivity","Test_225","cce_gaussian","Channel_2","Channel_1",-3.06130253029307
"EEG state","positivity","Test_226","cce_gaussian","Channel_2","Channel_1",-4.66885561142292
"EEG state","negativity","Test_227","cce_gaussian","Channel_2","Channel_1",-4.25850490984099
"EEG state","positivity","Test_228","cce_gaussian","Channel_2","Channel_1",-3.36256031464521
"EEG state","negativity","Test_229","cce_gaussian","Channel_2","Channel_1",-2.59283705833705
"EEG state","positivity","Test_23","cce_gaussian","Channel_2","Channel_1",-2.70750778857479
"EEG state","negativity","Test_230","cce_gaussian","Channel_2","Channel_1",-2.57153459023651
"EEG state","positivity","Test_231","cce_gaussian","Channel_2","Channel_1",-4.48184249622979
"EEG state","positivity","Test_232","cce_gaussian","Channel_2","Channel_1",-4.82395674647923
"EEG state","negativity","Test_233","cce_gaussian","Channel_2","Channel_1",-3.40243426382726
"EEG state","negativity","Test_234","cce_gaussian","Channel_2","Channel_1",-2.98480001791249
"EEG state","positivity","Test_235","cce_gaussian","Channel_2","Channel_1",-3.14437450009571
"EEG state","negativity","Test_236","cce_gaussian","Channel_2","Channel_1",-2.62649798510884
"EEG state","negativity","Test_237","cce_gaussian","Channel_2","Channel_1",-2.83375876660171
"EEG state","positivity","Test_238","cce_gaussian","Channel_2","Channel_1",-2.84505457523909
"EEG state","negativity","Test_239","cce_gaussian","Channel_2","Channel_1",-2.39396126999934
"EEG state","positivity","Test_24","cce_gaussian","Channel_2","Channel_1",-5.17070349235517
"EEG state","negativity","Test_240","cce_gaussian","Channel_2","Channel_1",-3.25919500164256
"EEG state","positivity","Test_241","cce_gaussian","Channel_2","Channel_1",-5.80167004051112
"EEG state","positivity","Test_242","cce_gaussian","Channel_2","Channel_1",-3.66143692865878
"EEG state","positivity","Test_243","cce_gaussian","Channel_2","Channel_1",-5.07019326443905
"EEG state","positivity","Test_244","cce_gaussian","Channel_2","Channel_1",-4.58385890880755
"EEG state","negativity","Test_245","cce_gaussian","Channel_2","Channel_1",-4.63359958437084
"EEG state","positivity","Test_246","cce_gaussian","Channel_2","Channel_1",-4.10342126670183
"EEG state","negativity","Test_247","cce_gaussian","Channel_2","Channel_1",-3.62441815256975
"EEG state","positivity","Test_248","cce_gaussian","Channel_2","Channel_1",-4.65168384428464
"EEG state","negativity","Test_249","cce_gaussian","Channel_2","Channel_1",-4.41119296497735
"EEG state","negativity","Test_25","cce_gaussian","Channel_2","Channel_1",-2.69961467671309
"EEG state","positivity","Test_250","cce_gaussian","Channel_2","Channel_1",-3.96745320209833
"EEG state","negativity","Test_251","cce_gaussian","Channel_2","Channel_1",-3.88898138981875
"EEG state","negativity","Test_252","cce_gaussian","Channel_2","Channel_1",-3.97969665786922
"EEG state","negativity","Test_253","cce_gaussian","Channel_2","Channel_1",-4.22079903150798
"EEG state","positivity","Test_254","cce_gaussian","Channel_2","Channel_1",-3.64823773279864
"EEG state","positivity","Test_255","cce_gaussian","Channel_2","Channel_1",-5.37213981941791
"EEG state","negativity","Test_256","cce_gaussian","Channel_2","Channel_1",-2.67269224028994
"EEG state","negativity","Test_257","cce_gaussian","Channel_2","Channel_1",-4.46104774520621
"EEG state","positivity","Test_258","cce_gaussian","Channel_2","Channel_1",-4.59080299305966
"EEG state","negativity","Test_259","cce_gaussian","Channel_2","Channel_1",-2.47696119957115
"EEG state","negativity","Test_26","cce_gaussian","Channel_2","Channel_1",-4.22962551782525
"EEG state","positivity","Test_260","cce_gaussian","Channel_2","Channel_1",-6.42334405269547
"EEG state","positivity","Test_261","cce_gaussian","Channel_2","Channel_1",-3.12294436796566
"EEG state","positivity","Test_262","cce_gaussian","Channel_2","Channel_1",-3.55986466823318
"EEG state","positivity","Test_263","cce_gaussian","Channel_2","Channel_1",-3.915970468805
"EEG state","negativity","Test_264","cce_gaussian","Channel_2","Channel_1",-3.80697813371713
"EEG state","negativity","Test_265","cce_gaussian","Channel_2","Channel_1",-4.59964146436455
"EEG state","negativity","Test_266","cce_gaussian","Channel_2","Channel_1",-3.55804102172035
"EEG state","positivity","Test_267","cce_gaussian","Channel_2","Channel_1",-4.49632813928329
"EEG state","positivity","Test_268","cce_gaussian","Channel_2","Channel_1",-4.77926874589947
"EEG state","negativity","Test_269","cce_gaussian","Channel_2","Channel_1",-4.9350243813753
"EEG state","positivity","Test_27","cce_gaussian","Channel_2","Channel_1",-4.25441750851054
"EEG state","negativity","Test_270","cce_gaussian","Channel_2","Channel_1",-2.75266054255422
"EEG state","positivity","Test_271","cce_gaussian","Channel_2","Channel_1",-3.70509870511099
"EEG state","positivity","Test_272","cce_gaussian","Channel_2","Channel_1",-4.24772622904842
"EEG state","positivity","Test_273","cce_gaussian","Channel_2","Channel_1",-2.82194964232839
"EEG state","positivity","Test_274","cce_gaussian","Channel_2","Channel_1",-4.43572878945014
"EEG state","positivity","Test_275","cce_gaussian","Channel_2","Channel_1",-4.53392724565218
"EEG state","positivity","Test_276","cce_gaussian","Channel_2","Channel_1",-4.40246880448253
"EEG state","negativity","Test_277","cce_gaussian","Channel_2","Channel_1",-2.4778869549296
"EEG state","negativity","Test_278","cce_gaussian","Channel_2","Channel_1",-2.181276947314
"EEG state","positivity","Test_279","cce_gaussian","Channel_2","Channel_1",-2.81623325329023
"EEG state","positivity","Test_28","cce_gaussian","Channel_2","Channel_1",-5.15375636468745
"EEG state","positivity","Test_280","cce_gaussian","Channel_2","Channel_1",-5.01704611631161
"EEG state","negativity","Test_281","cce_gaussian","Channel_2","Channel_1",-3.33684311785388
"EEG state","negativity","Test_282","cce_gaussian","Channel_2","Channel_1",-3.31828695096938
"EEG state","positivity","Test_283","cce_gaussian","Channel_2","Channel_1",-5.37101478546593
"EEG state","positivity","Test_284","cce_gaussian","Channel_2","Channel_1",-5.88852614036628
"EEG state","positivity","Test_285","cce_gaussian","Channel_2","Channel_1",-3.56332288570458
"EEG state","negativity","Test_286","cce_gaussian","Channel_2","Channel_1",-2.84767281991059
"EEG state","negativity","Test_287","cce_gaussian","Channel_2","Channel_1",-2.29447206342801
"EEG state","positivity","Test_288","cce_gaussian","Channel_2","Channel_1",-4.26311629108238
"EEG state","positivity","Test_289","cce_gaussian","Channel_2","Channel_1",-2.48338468570376
"EEG state","positivity","Test_29","cce_gaussian","Channel_2","Channel_1",-3.97032022843221
"EEG state","negativity","Test_290","cce_gaussian","Channel_2","Channel_1",0.0388679815408082
"EEG state","negativity","Test_291","cce_gaussian","Channel_2","Channel_1",-2.88008930928849
"EEG state","positivity","Test_292","cce_gaussian","Channel_2","Channel_1",-3.82376201631371
"EEG state","positivity","Test_293","cce_gaussian","Channel_2","Channel_1",-3.05345694804509
"EEG state","positivity","Test_3","cce_gaussian","Channel_2","Channel_1",-2.87553977358464
"EEG state","negativity","Test_30","cce_gaussian","Channel_2","Channel_1",-3.2137321572177
"EEG state","negativity","Test_31","cce_gaussian","Channel_2","Channel_1",-3.4744808904452
"EEG state","positivity","Test_32","cce_gaussian","Channel_2","Channel_1",-4.26160063066168
"EEG state","negativity","Test_33","cce_gaussian","Channel_2","Channel_1",-3.3302738910382
"EEG state","positivity","Test_34","cce_gaussian","Channel_2","Channel_1",-7.14299094722862
"EEG state","negativity","Test_35","cce_gaussian","Channel_2","Channel_1",-2.64217317599798
"EEG state","positivity","Test_36","cce_gaussian","Channel_2","Channel_1",-4.35524667066374
"EEG state","positivity","Test_37","cce_gaussian","Channel_2","Channel_1",-3.4198454595042
"EEG state","positivity","Test_38","cce_gaussian","Channel_2","Channel_1",-4.12084431377014
"EEG state","positivity","Test_39","cce_gaussian","Channel_2","Channel_1",-4.68455025783103
"EEG state","negativity","Test_4","cce_gaussian","Channel_2","Channel_1",-4.45876579384653
"EEG state","positivity","Test_40","cce_gaussian","Channel_2","Channel_1",-3.60405744510675
"EEG state","negativity","Test_41","cce_gaussian","Channel_2","Channel_1",-3.54935043960212
"EEG state","positivity","Test_42","cce_gaussian","Channel_2","Channel_1",-2.5543265246052
"EEG state","positivity","Test_43","cce_gaussian","Channel_2","Channel_1",-3.05673837283997
"EEG state","negativity","Test_44","cce_gaussian","Channel_2","Channel_1",-3.13163377076691
"EEG state","negativity","Test_45","cce_gaussian","Channel_2","Channel_1",-5.7056728230413
"EEG state","positivity","Test_46","cce_gaussian","Channel_2","Channel_1",-2.82368533692109
"EEG state","positivity","Test_47","cce_gaussian","Channel_2","Channel_1",-4.92319177166366
"EEG state","negativity","Test_48","cce_gaussian","Channel_2","Channel_1",-2.3981346931786
"EEG state","positivity","Test_49","cce_gaussian","Channel_2","Channel_1",-4.45063348475677
"EEG state","negativity","Test_5","cce_gaussian","Channel_2","Channel_1",-3.92770781590697
"EEG state","negativity","Test_50","cce_gaussian","Channel_2","Channel_1",-4.5047122875576
"EEG state","positivity","Test_51","cce_gaussian","Channel_2","Channel_1",-0.724643129668288
"EEG state","negativity","Test_52","cce_gaussian","Channel_2","Channel_1",-3.31187547600918
"EEG state","negativity","Test_53","cce_gaussian","Channel_2","Channel_1",-3.46959895962015
"EEG state","negativity","Test_54","cce_gaussian","Channel_2","Channel_1",-2.8840051294877
"EEG state","negativity","Test_55","cce_gaussian","Channel_2","Channel_1",-2.7484036478996
"EEG state","negativity","Test_56","cce_gaussian","Channel_2","Channel_1",-4.60436247124227
"EEG state","negativity","Test_57","cce_gaussian","Channel_2","Channel_1",-3.08347074967949
"EEG state","negativity","Test_58","cce_gaussian","Channel_2","Channel_1",-3.65909505976328
"EEG state","negativity","Test_59","cce_gaussian","Channel_2","Channel_1",-2.44795408405942
"EEG state","negativity","Test_6","cce_gaussian","Channel_2","Channel_1",-4.78293219570688
"EEG state","negativity","Test_60","cce_gaussian","Channel_2","Channel_1",-2.94924225386942
"EEG state","positivity","Test_61","cce_gaussian","Channel_2","Channel_1",-2.29431525631263
"EEG state","positivity","Test_62","cce_gaussian","Channel_2","Channel_1",-3.24245154028708
"EEG state","positivity","Test_63","cce_gaussian","Channel_2","Channel_1",-3.09354967014531
"EEG state","positivity","Test_64","cce_gaussian","Channel_2","Channel_1",-4.73322953680141
"EEG state","positivity","Test_65","cce_gaussian","Channel_2","Channel_1",-3.57408277823984
"EEG state","negativity","Test_66","cce_gaussian","Channel_2","Channel_1",-5.48956989617858
"EEG state","positivity","Test_67","cce_gaussian","Channel_2","Channel_1",-3.79959777088491
"EEG state","positivity","Test_68","cce_gaussian","Channel_2","Channel_1",-5.66795662099994
"EEG state","positivity","Test_69","cce_gaussian","Channel_2","Channel_1",-3.21027058665156
"EEG state","negativity","Test_7","cce_gaussian","Channel_2","Channel_1",-2.7165536116702
"EEG state","negativity","Test_70","cce_gaussian","Channel_2","Channel_1",-5.38465769528985
"EEG state","negativity","Test_71","cce_gaussian","Channel_2","Channel_1",-3.27095467703568
"EEG state","negativity","Test_72","cce_gaussian","Channel_2","Channel_1",-2.95418123210063
"EEG state","positivity","Test_73","cce_gaussian","Channel_2","Channel_1",-4.40845181084319
"EEG state","negativity","Test_74","cce_gaussian","Channel_2","Channel_1",-4.53243029268505
"EEG state","negativity","Test_75","cce_gaussian","Channel_2","Channel_1",-3.1040991097412
"EEG state","positivity","Test_76","cce_gaussian","Channel_2","Channel_1",-3.77208420200742
